tc_id,description,method,path,body,auth_mode,content_type,extra_headers,assertion_profile,expected_status,pre_steps,notes
FR07-TC-028,Duplicate product merges quantity,GET,/api/cart,,cartFresh,,{},fr07_duplicate_merge,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""},{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-029,Add two different products,POST,/api/cart,"{""id"":2,""name"":""Samsung"",""price"":28000000,""quantity"":1}",cartFresh,application/json,{},status_200,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-030,PUT cart not allowed,PUT,/api/cart,{},user,application/json,{},status_404_or_405,,[],
FR07-TC-031,DELETE cart not allowed,DELETE,/api/cart,,user,,{},status_404_or_405,,[],
FR07-TC-032,Response time,GET,/api/cart,,user,,{},fr07_response_time,,[],
FR07-TC-033,Cart isolated per user,GET,/api/cart,,user,,{},status_200,,[],
FR07-TC-034,POST oversized quantity,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":999999}",user,application/json,{},status_400,,[],
FR07-TC-035,POST null fields,POST,/api/cart,"{""id"":null,""name"":null,""price"":null,""quantity"":null}",user,application/json,{},status_400,,[],
FR07-TC-036,GET after POST schema,GET,/api/cart,,cartFresh,,{},fr07_schema_all_keys,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-037,POST id zero,POST,/api/cart,"{""id"":0,""name"":""X"",""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-038,POST id negative,POST,/api/cart,"{""id"":-1,""name"":""X"",""price"":100,""quantity"":1}",user,application/json,{},status_400,,[],
FR07-TC-039,Rate limit SEC07,GET,/api/cart,,user,,{},status_429,,[],
FR07-TC-040,Array body rejected,POST,/api/cart,"[{""id"":1,""name"":""X"",""price"":100,""quantity"":1}]",user,application/json,{},status_400,,[],
FR07-TC-EXT-001,No validation quantity zero,POST,/api/cart,"{""id"":1,""name"":""iPhone 15 Pro Max"",""price"":30000000,""quantity"":0}",cartFresh,application/json,{},status_400,,[],
FR07-TC-EXT-002,Duplicate rows not merged,GET,/api/cart,,cartFresh,,{},fr07_dup_at_most_one,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""},{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
FR07-TC-EXT-003,push raw body unvalidated,POST,/api/cart,"{""id"":1,""name"":""Hack"",""price"":-999,""quantity"":0}",user,application/json,{},status_400,,[],
FR07-TC-EXT-004,Cart persists in memory,GET,/api/cart,,user,,{},fr07_cart_not_empty,,[],
FR07-TC-EXT-005,Missing Authorization case sensitive,GET,/api/cart,,lowercase,,{},status_401_403,,[],
FR07-TC-EXT-006,Fresh user cart count after adds,GET,/api/cart,,cartFresh,,{},fr07_multi_items,,"[{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":1,\""name\"":\""iPhone 15 Pro Max\"",\""price\"":30000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""},{""method"":""POST"",""path"":""/api/cart"",""body"":""{\""id\"":2,\""name\"":\""Samsung\"",\""price\"":28000000,\""quantity\"":1}"",""auth_mode"":""cartFresh"",""content_type"":""application/json""}]",
